"LOCATION","Country","SUBJECT","Subject","GEO_COVERAGE","Geographical coverage","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"AUT","Austria","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",108.5325,,
"AUT","Austria","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",114.2588,,
"AUT","Austria","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",82.1925,,
"AUT","Austria","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",87.385,,
"AUT","Austria","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",91.01,,
"AUT","Austria","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",95.435,,
"AUT","Austria","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"AUT","Austria","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",103.795,,
"AUT","Austria","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",109.97125,,
"AUT","Austria","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","GY","Percentage change on the same period of the previous year","A","Annual","2011","2011","PC","Percentage","0","Units",,,6.250203457,,
"AUT","Austria","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","GY","Percentage change on the same period of the previous year","A","Annual","2012","2012","PC","Percentage","0","Units",,,7.319464444,,
"AUT","Austria","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","GY","Percentage change on the same period of the previous year","A","Annual","2013","2013","PC","Percentage","0","Units",,,5.173004454,,
"AUT","Austria","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","GY","Percentage change on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,3.507057546,,
"AUT","Austria","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,4.898772684,,
"AUT","Austria","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","GY","Percentage change on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,8.5325,,
"AUT","Austria","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","GY","Percentage change on the same period of the previous year","A","Annual","2017","2017","PC","Percentage","0","Units",,,5.276115449,,
"AUT","Austria","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","GP","Percentage change from previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,6.250203457,,
"AUT","Austria","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","GP","Percentage change from previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,7.319464444,,
"AUT","Austria","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","GP","Percentage change from previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,5.173004454,,
"AUT","Austria","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","GP","Percentage change from previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,3.507057546,,
"AUT","Austria","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","GP","Percentage change from previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,4.898772684,,
"AUT","Austria","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","GP","Percentage change from previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,8.5325,,
"AUT","Austria","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","GP","Percentage change from previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,5.276115449,,
"AUT","Austria","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","GP","Percentage change from previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,6.02747678,,
"AUT","Austria","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","GP","Percentage change from previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,6.317486389,,
"AUT","Austria","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","GP","Percentage change from previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,4.148309206,,
"AUT","Austria","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","GP","Percentage change from previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,4.862103066,,
"AUT","Austria","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","GP","Percentage change from previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,4.783360402,,
"AUT","Austria","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","GP","Percentage change from previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,3.795,,
"AUT","Austria","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","GP","Percentage change from previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,5.950431138,,
"BEL","Belgium","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",95.67583253,,
"BEL","Belgium","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",97.81351925,,
"BEL","Belgium","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",98.96193269,,
"BEL","Belgium","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",98.41700002,,
"BEL","Belgium","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"BEL","Belgium","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",102.6406569,,
"BEL","Belgium","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",106.3730121,,
"BEL","Belgium","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",92.48376676,,
"BEL","Belgium","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",94.20651931,,
"BEL","Belgium","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",97.73659641,,
"BEL","Belgium","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",95.66706615,,
"BEL","Belgium","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"BEL","Belgium","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",103.4867821,,
